route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
668,NMBS/SNCB,S42,Liers -- Flémalle-Haute,,100,,,
669,NMBS/SNCB,IC,Luxembourg (LU) -- Gouvy,,103,,,
67,NMBS/SNCB,BUS,Herentals -- Hamont,,700,,,
670,NMBS/SNCB,IC,Luxembourg (LU) -- Liège-Guillemins,,103,,,
671,NMBS/SNCB,IC,Luxembourg (LU) -- Rivage,,103,,,
672,NMBS/SNCB,IC,Liège-Guillemins -- Trois-Ponts,,103,,,
673,NMBS/SNCB,IC,Troisvierges (LU) -- Liège-Guillemins,,103,,,
674,NMBS/SNCB,IC,Luxembourg (LU) -- Liers,,103,,,
675,NMBS/SNCB,IC,Liers -- Trois-Ponts,,103,,,
676,NMBS/SNCB,IC,Troisvierges (LU) -- Liers,,103,,,
677,NMBS/SNCB,IC,Liers -- Gouvy,,103,,,
678,NMBS/SNCB,IC,Rivage -- Gouvy,,103,,,
679,NMBS/SNCB,S41,Liège-Guillemins -- Verviers-Central,,100,,,
68,NMBS/SNCB,BUS,Begijnendijk -- Louvain,,700,,,
680,NMBS/SNCB,S41,Hasselt -- Liers,,100,,,
681,NMBS/SNCB,S41,Hasselt -- Verviers-Central,,100,,,
682,NMBS/SNCB,S41,Hasselt -- Liège-Guillemins,,100,,,
683,NMBS/SNCB,S41,Tongres -- Liège-Guillemins,,100,,,
684,NMBS/SNCB,S41,Liers -- Verviers-Central,,100,,,
685,NMBS/SNCB,S41,Hasselt -- Tongres,,100,,,
686,NMBS/SNCB,IC,Bruxelles-Midi -- Eupen,,103,,,
687,NMBS/SNCB,IC,Eupen -- Gand-Saint-Pierre,,103,,,
688,NMBS/SNCB,S42,Liège-Guillemins -- Liers,,100,,,
689,NMBS/SNCB,S42,Herstal -- Flémalle-Haute,,100,,,
69,NMBS/SNCB,BUS,Lierre -- Mol,,700,,,
690,NMBS/SNCB,L,Malines -- Termonde,,100,,,
691,NMBS/SNCB,L,Malines -- Bruges,,100,,,
692,NMBS/SNCB,L,Malines -- Londerzeel,,100,,,
693,NMBS/SNCB,L,Liers -- Marloie,,100,,,
694,NMBS/SNCB,L,Liège-Guillemins -- Marloie,,100,,,
695,NMBS/SNCB,L,Rivage -- Marloie,,100,,,
696,NMBS/SNCB,L,Liers -- Bomal,,100,,,
697,NMBS/SNCB,L,Liers -- Rochefort-Jemelle,,100,,,
